怪物名稱,等級 ,生命值,基礎經驗,掉落物品
Dyle (沼澤巨鱷),65,31000,810,Dark Ritual (死靈法杖)
Dyle (沼澤巨鱷),65,31000,810,Doombringer (霸王劍)
Dyle (沼澤巨鱷),65,31000,810,Chrono (雷電斧)
Dyle (沼澤巨鱷),65,31000,810,Gigantic Sledge (封魂之錘)
Dyle (沼澤巨鱷),65,31000,810,Redemption (銀龍槍)
Dyle (沼澤巨鱷),65,31000,810,The Gold Dragon (黃龍刀)
Dyle (沼澤巨鱷),65,31000,810,Golden Hinkel (黃神弓)
Dyle (沼澤巨鱷),65,31000,810,Gross Jaeger (破天弩弓)
Dyle (沼澤巨鱷),65,31000,810,Blue Scarab (藍閃電甲)
Dyle (沼澤巨鱷),65,31000,810,Beia Crash (拜爾毀滅拳套)
Dyle (沼澤巨鱷),65,31000,810,Abyss Shooter (深淵射手)
Dyle (沼澤巨鱷),65,31000,810,White Potion (白色藥水)
Dyle (沼澤巨鱷),65,31000,810,Blue Potion (藍色藥水)
Dyle (沼澤巨鱷),65,31000,810,Dexterity Potion (敏捷藥水)
Dyle (沼澤巨鱷),65,31000,810,Speed Potion (速度藥水)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Helmet for Defense 60% (頭盔防禦力 60% 捲軸)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Helmet for DEX 10% (頭盔敏捷卷軸10%)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Overall Armor for DEX 60% (套服敏捷卷軸60%)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Overall Armor for LUK 60% (套服幸運卷軸60%)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Bottomwear for DEX 10% (褲裙敏捷卷軸 10%)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Bottomwear for DEX 100% (褲裙敏捷卷軸100%)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Shoes for Avoidability 10% (鞋子迴避率 10% 捲軸)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Shoes for Mobility 10% (鞋子移動速度 10% 捲軸)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Gloves for ATT 60% (手套攻擊卷軸60%)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Cape for Defense 60% (披風防禦力 60% 捲軸)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Cape for Defense 10% (披風防禦力 10% 捲軸)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Cape for Defense 15% (披風防禦力 15% 捲軸)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Dagger for ATT 60% (短劍攻擊卷軸60%)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Two-Handed Sword for ATT 60% (雙手劍攻擊力 60% 捲軸)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Spear for Accuracy 60% (槍命中卷軸60%)
Dyle (沼澤巨鱷),65,31000,810,Dark Scroll for Spear for Accuracy 30% (黑暗矛命中率 30% 捲軸)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Pole Arm for ATT 60% (矛攻擊卷軸60%)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Bow for ATT 10% (弓攻擊卷軸10%)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Crossbow for ATT 60% (弩攻擊卷軸60%)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Claw for ATT 60% (拳套攻擊卷軸60%)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Claw for ATT 10% (拳套攻擊卷軸10%)
Dyle (沼澤巨鱷),65,31000,810,Scroll for Knuckler for Accuracy 60% (指虎命中率 60% 捲軸)
Dyle (沼澤巨鱷),65,31000,810,Leather (動物皮)
Dyle (沼澤巨鱷),65,31000,810,Ligator Skin (鱷魚皮)
Dyle (沼澤巨鱷),65,31000,810,Croco Skin (黑鱷魚皮)
Dyle (沼澤巨鱷),65,31000,810,Mithril Ore (鋰礦石母礦)
Dyle (沼澤巨鱷),65,31000,810,Emerald Ore (祖母綠母礦)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Pink-Flowered Earrings (梅花耳環)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Silver Legend Shield (古老銀盾)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Silver Ancient Shield (銀古盾牌)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Black Gaia Cape (黑鬥士披風)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Blaze Capsule (烈焰膠囊)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Glaze Capsule (冰晶膠囊)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Ilbi Throwing-Stars (日之鏢)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Hwabi Throwing-Stars (月牙鏢)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Cutlus (彎刀)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Topwear for Defense 10% (上衣防禦力 10% 捲軸)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Shoes for Mobility 60% (鞋子移動速度 60% 捲軸)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for One-Handed Sword for ATT 60% (單手劍攻擊卷軸60%)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for One-Handed Sword for Accuracy 10% (單手劍命中卷軸10%)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for One-Handed Axe for ATT 60% (單手斧攻擊卷軸60%)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for One-Handed BW for ATT 60% (單手棍攻擊卷軸60%)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Dagger for ATT 60% (短劍攻擊卷軸60%)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Wand for Magic ATT 60% (短杖魔力卷軸60%)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Staff for Magic ATT 60% (長杖魔力卷軸60%)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Two-Handed Sword for ATT 60% (雙手劍攻擊力 60% 捲軸)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Two-Handed Axe for ATT 60% (雙手斧攻擊力 60% 捲軸)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Two-Handed BW for ATT 60% (雙手鈍器攻擊力 60% 捲軸)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Spear for ATT 60% (槍攻擊卷軸60%)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Pole Arm for ATT 60% (矛攻擊卷軸60%)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Bow for ATT 60% (弓攻擊卷軸60%)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Crossbow for ATT 60% (弩攻擊卷軸60%)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Claw for ATT 60% (拳套攻擊卷軸60%)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Knuckler for ATT 60% (指虎攻擊力 60% 捲軸)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Dark Scroll for Knuckler for ATT 70% (黑暗指虎攻擊力 70% 捲軸)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Gun for ATT 60% (火槍攻擊卷軸60%)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Scroll for Gun for ATT 10% (火槍攻擊卷軸10%)
Zombie Mushmom (殭屍蘑菇王),65,35000,1500,Poisonous Mushroom (毒菇)
Bob (鮑勃),69,13000,1400,Green Bandana (綠色頭巾)
Bob (鮑勃),69,13000,1400,Green Adventurer Cape (綠色冒險家披風)
Bob (鮑勃),69,13000,1400,Blue Adventurer Cape (藍色冒險家披風)
Bob (鮑勃),69,13000,1400,Red Adventurer Cape (紅色冒險家披風)
Bob (鮑勃),69,13000,1400,White Adventurer Cape (白色冒險家披風)
Bob (鮑勃),69,13000,1400,Black Adventurer Cape (黑色冒險家披風)
Jr. Balrog (小巴洛古),80,50000,2000,Wooden Legend Shield (古老木盾)
Jr. Balrog (小巴洛古),80,50000,2000,Silver Ancient Shield (銀古盾牌)
Jr. Balrog (小巴洛古),80,50000,2000,Hwabi Throwing-Stars (月牙鏢)
Jr. Balrog (小巴洛古),80,50000,2000,Red Katana (火焰刀)
Jr. Balrog (小巴洛古),80,50000,2000,Mikhail (黃金斧)
Jr. Balrog (小巴洛古),80,50000,2000,The Judgement (暴風錘)
Jr. Balrog (小巴洛古),80,50000,2000,Kandine (鳳凰刃)
Jr. Balrog (小巴洛古),80,50000,2000,Golden River (金剛刃)
Jr. Balrog (小巴洛古),80,50000,2000,Evil Wings (魔靈之翼)
Jr. Balrog (小巴洛古),80,50000,2000,Doombringer (霸王劍)
Jr. Balrog (小巴洛古),80,50000,2000,Chrono (雷電斧)
Jr. Balrog (小巴洛古),80,50000,2000,Gigantic Sledge (封魂之錘)
Jr. Balrog (小巴洛古),80,50000,2000,Redemption (銀龍槍)
Jr. Balrog (小巴洛古),80,50000,2000,The Gold Dragon (黃龍刀)
Jr. Balrog (小巴洛古),80,50000,2000,Red Hinkel (赤神弓)
Jr. Balrog (小巴洛古),80,50000,2000,Gross Jaeger (破天弩弓)
Jr. Balrog (小巴洛古),80,50000,2000,Brown Scarab (黃閃電甲)
Jr. Balrog (小巴洛古),80,50000,2000,Beia Crash (拜爾毀滅拳套)
Jr. Balrog (小巴洛古),80,50000,2000,Abyss Shooter (深淵射手)
Jr. Balrog (小巴洛古),80,50000,2000,Elixir (特殊藥水)
Jr. Balrog (小巴洛古),80,50000,2000,Power Elixir (超級藥水)
Jr. Balrog (小巴洛古),80,50000,2000,Mana Elixir (活力藥水)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Topwear for STR 10% (上衣力量卷軸10%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Bottomwear for Defense 10% (褲裙防禦力 10% 捲軸)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for One-Handed Sword for ATT 60% (單手劍攻擊卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for One-Handed Axe for ATT 60% (單手斧攻擊卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for One-Handed BW for ATT 60% (單手棍攻擊卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Dagger for ATT 60% (短劍攻擊卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Wand for Magic ATT 60% (短杖魔力卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Staff for Magic ATT 60% (長杖魔力卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Two-Handed Sword for ATT 60%
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Two-handed Sword for ATT 60% (雙手劍攻擊卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Two-handed BW for ATT 60% (雙手棍攻擊卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Spear for ATT 60% (槍攻擊卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Pole Arm for ATT 60% (矛攻擊卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Bow for ATT 60% (弓攻擊卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Crossbow for ATT 60% (弩攻擊卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Claw for ATT 60% (拳套攻擊卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Knuckle for ATT 60% (指虎攻擊卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Scroll for Gun for ATT 60% (火槍攻擊卷軸60%)
Jr. Balrog (小巴洛古),80,50000,2000,Black Crystal Ore (黑水晶母礦)
Alpha Ribbon Pig (奇怪的豬),none,350,32,Red Baseball Cap (紅色棒球帽)
Alpha Ribbon Pig (奇怪的豬),none,350,32,Red Bandana (紅頭巾)
Alpha Ribbon Pig (奇怪的豬),none,350,32,Ribboned Pig Headband (緞帶肥肥髮帶)
Alpha Ribbon Pig (奇怪的豬),none,350,32,Red Work Gloves (紅色工作手套)
Alpha Ribbon Pig (奇怪的豬),none,350,32,Red Brick (紅色磚頭)
Alpha Ribbon Pig (奇怪的豬),none,350,32,Blue Potion (藍色藥水)
Alpha Ribbon Pig (奇怪的豬),none,350,32,Meat (肉)
Jr. Sentinel (新手島石球),none,8,1,Feather Hat (綠羽翼三角帽)
Jr. Sentinel (新手島石球),none,8,1,White Oceania Cap (白色遠洋帽)
Jr. Sentinel (新手島石球),none,8,1,Lightning Earrings (來電耳環)
Jr. Sentinel (新手島石球),none,8,1,Red Hwarang Shirt (紅龍服)
Jr. Sentinel (新手島石球),none,8,1,Green Knucklevest (綠暗影之服)
Jr. Sentinel (新手島石球),none,8,1,White Martial Arts Pants (白武褲)
Jr. Sentinel (新手島石球),none,8,1,Blue Knucklevest Pants (藍暗影之褲)
Jr. Sentinel (新手島石球),none,8,1,Bronze Wolfskin (青銅精神手套)
Jr. Sentinel (新手島石球),none,8,1,Fireman's Axe (赤斧)
Jr. Sentinel (新手島石球),none,8,1,Contra Axe (昆德拉斧頭)
Jr. Sentinel (新手島石球),none,8,1,Petal Staff (翡赤之杖)
Jr. Sentinel (新手島石球),none,8,1,Orange Potion (橘色藥水)
Jr. Sentinel (新手島石球),none,8,1,Blue Potion (藍色藥水)
Jr. Sentinel (新手島石球),none,8,1,Scroll for Earring for DEX 100% (耳環敏捷卷軸100%)
Jr. Sentinel (新手島石球),none,8,1,Scroll for Bottomwear for HP 100% (褲裙生命卷軸100%)
Jr. Sentinel (新手島石球),none,8,1,Scroll for Cape for Weapon DEF 10% (披風防禦卷軸10%)
Jr. Sentinel (新手島石球),none,8,1,Scroll for Cape for INT 60% (披風智力卷軸60%)
Jr. Sentinel (新手島石球),none,8,1,Dark Scroll for Cape for Weapon DEF 70% (披風防禦詛咒卷軸70%)
Jr. Sentinel (新手島石球),none,8,1,Scroll for Cape for Defense 15% (披風防禦卷軸15%)
Jr. Sentinel (新手島石球),none,8,1,Sentinel Shellpiece (石球的石塊)
Jr. Sentinel (新手島石球),none,8,1,Power Crystal Ore (力量母礦)
Jr. Sentinel (新手島石球),none,8,1,The Magic Rock (魔法石)
Jr. Sentinel (新手島石球),none,8,1,Mithril Ore (鋰礦石母礦)
Jr. Sentinel (新手島石球),none,8,1,Opal Ore (蛋白石母礦)
Witchgras (神秘的植物),none,none,none,Witchgrass Leaf (神秘的葉子)
Jr. Cellion (幼紅獨角獅),33,1100,65,Brown Jester (褐色術士帽)
Jr. Cellion (幼紅獨角獅),33,1100,65,Bronze Crusader Helm (青銅十字軍帽)
Jr. Cellion (幼紅獨角獅),33,1100,65,Dark Matty (黑星魔法帽)
Jr. Cellion (幼紅獨角獅),33,1100,65,Brown Guise (褐假面帽)
Jr. Cellion (幼紅獨角獅),33,1100,65,Cat's Eye (貓眼耳環)
Jr. Cellion (幼紅獨角獅),33,1100,65,Green Knucklevest (綠暗影之服)
Jr. Cellion (幼紅獨角獅),33,1100,65,Blue Legolier (藍守護之服)
Jr. Cellion (幼紅獨角獅),33,1100,65,Brown Starlight (褐星光長袍)
Jr. Cellion (幼紅獨角獅),33,1100,65,Red Starlight (紅星光長袍)
Jr. Cellion (幼紅獨角獅),33,1100,65,Brown Pollard (褐色無袖服)
Jr. Cellion (幼紅獨角獅),33,1100,65,Blue Legolier Pants (藍守護之褲)
Jr. Cellion (幼紅獨角獅),33,1100,65,Steel Trigger (鐵頭皮鞋)
Jr. Cellion (幼紅獨角獅),33,1100,65,Blood Battle Grieves (紅鬥士鞋)
Jr. Cellion (幼紅獨角獅),33,1100,65,Red Jack Boots (紅皮製長靴)
Jr. Cellion (幼紅獨角獅),33,1100,65,Mithril Trigger (藍鐵頭鞋)
Jr. Cellion (幼紅獨角獅),33,1100,65,Steel Sylvia (鋼鐵暴風手套)
Jr. Cellion (幼紅獨角獅),33,1100,65,Silver Sylvia (銀暴風手套)
Jr. Cellion (幼紅獨角獅),33,1100,65,Dark Brace (黑勇氣手套)
Jr. Cellion (幼紅獨角獅),33,1100,65,Wolbi ThrowingnoneStars (迴旋刃)
Jr. Cellion (幼紅獨角獅),33,1100,65,Plunger (通通樂)
Jr. Cellion (幼紅獨角獅),33,1100,65,Gephart (暗影刃)
Jr. Cellion (幼紅獨角獅),33,1100,65,Blue Axe (重型巨斧)
Jr. Cellion (幼紅獨角獅),33,1100,65,Heckler (雙弦弩)
Jr. Cellion (幼紅獨角獅),33,1100,65,White Potion (白色藥水)
Jr. Cellion (幼紅獨角獅),33,1100,65,Blue Potion (藍色藥水)
Jr. Cellion (幼紅獨角獅),33,1100,65,Scroll for Claw for ATT 60% (拳套攻擊卷軸60%)
Jr. Cellion (幼紅獨角獅),33,1100,65,Holy Water (聖水)
Jr. Cellion (幼紅獨角獅),33,1100,65,Leather (動物皮)
Jr. Cellion (幼紅獨角獅),33,1100,65,Solid Horn (獨角獅硬角)
Jr. Cellion (幼紅獨角獅),33,1100,65,Flaming Feather (火焰羽毛)
Jr. Cellion (幼紅獨角獅),33,1100,65,Flaming Feather (火焰羽毛)
Jr. Cellion (幼紅獨角獅),33,1100,65,Stiff Feather (堅硬的羽毛)
Jr. Cellion (幼紅獨角獅),33,1100,65,Power Crystal Ore (力量母礦)
Jr. Cellion (幼紅獨角獅),33,1100,65,The Magic Rock (魔法石)
Jr. Cellion (幼紅獨角獅),33,1100,65,Garnet Ore (石榴石母礦)
Jr. Cellion (幼紅獨角獅),33,1100,65,Amethyst Ore (紫水晶母礦)
Jr. Lioner (幼黃獨角獅),33,1100,65,Blue Guise (藍假面帽)
Jr. Lioner (幼黃獨角獅),33,1100,65,Red Starlight (紅星光長袍)
Jr. Lioner (幼黃獨角獅),33,1100,65,Silver Fitted Mail (銀制鎧甲)
Jr. Lioner (幼黃獨角獅),33,1100,65,Red Moonlight (紅色月光服)
Jr. Lioner (幼黃獨角獅),33,1100,65,Brown Hunter Boots (褐打獵鞋)
Jr. Lioner (幼黃獨角獅),33,1100,65,Purple Salt Shoes (紫守護鞋)
Jr. Lioner (幼黃獨角獅),33,1100,65,Gold Scaler (黃金名弓手套)
Jr. Lioner (幼黃獨角獅),33,1100,65,Kumbi ThrowingnoneStars (雪花標)
Jr. Lioner (幼黃獨角獅),33,1100,65,Reef Claw (水晶刃)
Jr. Lioner (幼黃獨角獅),33,1100,65,Mithril Pole Arm (鋰礦戟)
Jr. Lioner (幼黃獨角獅),33,1100,65,Dark Guardian (黑守護拳套)
Jr. Lioner (幼黃獨角獅),33,1100,65,Cold Mind (冷酷之心)
Jr. Lioner (幼黃獨角獅),33,1100,65,White Potion (白色藥水)
Jr. Lioner (幼黃獨角獅),33,1100,65,Blue Potion (藍色藥水)
Jr. Lioner (幼黃獨角獅),33,1100,65,Scroll for one handed Axe for Accuracy 10% (單手斧命中卷軸10%)
Jr. Lioner (幼黃獨角獅),33,1100,65,Scroll for Bow for ATT 60% (弓攻擊卷軸60%)
Jr. Lioner (幼黃獨角獅),33,1100,65,Leather (動物皮)
Jr. Lioner (幼黃獨角獅),33,1100,65,Solid Horn (獨角獅硬角)
Jr. Lioner (幼黃獨角獅),33,1100,65,Flaming Feather (火焰羽毛)
Jr. Lioner (幼黃獨角獅),33,1100,65,Flaming Feather (火焰羽毛)
Jr. Lioner (幼黃獨角獅),33,1100,65,Stiff Feather (堅硬的羽毛)
Jr. Lioner (幼黃獨角獅),33,1100,65,Wisdom Crystal Ore (智慧母礦)
Jr. Lioner (幼黃獨角獅),33,1100,65,The Magic Rock (魔法石)
Jr. Lioner (幼黃獨角獅),33,1100,65,The Summoning Rock (召喚石)
Jr. Lioner (幼黃獨角獅),33,1100,65,Mithril Ore (鋰礦石母礦)
Jr. Lioner (幼黃獨角獅),33,1100,65,Emerald Ore (祖母綠母礦)
Jr. Lioner (幼黃獨角獅),33,1100,65,Diamond Ore (鑽石母礦)
Jr. Grupin (幼藍獨角獅),33,1100,65,Black Jester (黑色術士帽)
Jr. Grupin (幼藍獨角獅),33,1100,65,Green Hawkeye (綠雙翼之帽)
Jr. Grupin (幼藍獨角獅),33,1100,65,Red Misty (紅色皇家頭巾)
Jr. Grupin (幼藍獨角獅),33,1100,65,Blue Moon (藍月耳環)
Jr. Grupin (幼藍獨角獅),33,1100,65,Blue Sky (蒼天衣)
Jr. Grupin (幼藍獨角獅),33,1100,65,Black Amoria Top (黑神聖法衣)
Jr. Grupin (幼藍獨角獅),33,1100,65,Blue Legolia (藍守護之服)
Jr. Grupin (幼藍獨角獅),33,1100,65,White Martial Arts Shorts (半白武褲)
Jr. Grupin (幼藍獨角獅),33,1100,65,Black Amoria Skirt (黑神聖裙)
Jr. Grupin (幼藍獨角獅),33,1100,65,Blue Legolia Pants (藍守護褲)
Jr. Grupin (幼藍獨角獅),33,1100,65,Gold Arbion (黃金追擊手套)
Jr. Grupin (幼藍獨角獅),33,1100,65,Kumbi ThrowingnoneStars (雪花標)
Jr. Grupin (幼藍獨角獅),33,1100,65,Sky Blue Umbrella (藍色雨傘)
Jr. Grupin (幼藍獨角獅),33,1100,65,Heavy Hammer (鐵釘錘)
Jr. Grupin (幼藍獨角獅),33,1100,65,Halfmoon Zamadar (半月刃)
Jr. Grupin (幼藍獨角獅),33,1100,65,Cold Mind (冷酷之心)
Jr. Grupin (幼藍獨角獅),33,1100,65,White Potion (白色藥水)
Jr. Grupin (幼藍獨角獅),33,1100,65,Blue Potion (藍色藥水)
Jr. Grupin (幼藍獨角獅),33,1100,65,Scroll for Cape for INT 60% (披風智力卷軸60%)
Jr. Grupin (幼藍獨角獅),33,1100,65,Scroll for one handed Axe for Accuracy 100% (單手斧命中卷軸100%)
Jr. Grupin (幼藍獨角獅),33,1100,65,Scroll for Wand for Magic ATT 60% (短杖魔力卷軸60%)
Jr. Grupin (幼藍獨角獅),33,1100,65,Scroll for Knuckle for Accuracy 60% (指虎命中卷軸60%)
Jr. Grupin (幼藍獨角獅),33,1100,65,Leather (動物皮)
Jr. Grupin (幼藍獨角獅),33,1100,65,Solid Horn (獨角獅硬角)
Jr. Grupin (幼藍獨角獅),33,1100,65,Stiff Feather (堅硬的羽毛)
Jr. Grupin (幼藍獨角獅),33,1100,65,Wisdom Crystal Ore (智慧母礦)
Jr. Grupin (幼藍獨角獅),33,1100,65,LUK Crystal Ore (幸運母礦)
Jr. Grupin (幼藍獨角獅),33,1100,65,The Magic Rock (魔法石)
Jr. Grupin (幼藍獨角獅),33,1100,65,Steel Ore (鋼鐵母礦)
Jr. Grupin (幼藍獨角獅),33,1100,65,Sapphire Ore (藍寶石母礦)
Star Pixie (星光精靈),35,1300,72,Blue Guiltian (藍魔道之帽)
Star Pixie (星光精靈),35,1300,72,Red Burgler (紅防風帽)
Star Pixie (星光精靈),35,1300,72,Blue Den Marine (海藍水手頭巾)
Star Pixie (星光精靈),35,1300,72,Red Legolia (紅守護之服)
Star Pixie (星光精靈),35,1300,72,Brown Moonlight (褐色月光服)
Star Pixie (星光精靈),35,1300,72,Red Legolia Pants (紅守護褲)
Star Pixie (星光精靈),35,1300,72,Green Silky Boots (綠錦絲鞋)
Star Pixie (星光精靈),35,1300,72,Lined Boots (藍楊柳鞋)
Star Pixie (星光精靈),35,1300,72,Steel Missel (鋼製機器手套)
Star Pixie (星光精靈),35,1300,72,Black Marker (黑擊中手套)
Star Pixie (星光精靈),35,1300,72,Battle Shield (戰鬥盾牌)
Star Pixie (星光精靈),35,1300,72,Pan Lid (鍋蓋)
Star Pixie (星光精靈),35,1300,72,Traus (黃沙之劍)
Star Pixie (星光精靈),35,1300,72,Sky Blue Umbrella (藍色雨傘)
Star Pixie (星光精靈),35,1300,72,Frying Pan (米伽勒的平底鍋)
Star Pixie (星光精靈),35,1300,72,Fish Spear (海神叉)
Star Pixie (星光精靈),35,1300,72,Vaulter 2000 (暴風弓)
Star Pixie (星光精靈),35,1300,72,White Potion (白色藥水)
Star Pixie (星光精靈),35,1300,72,Blue Potion (藍色藥水)
Star Pixie (星光精靈),35,1300,72,Scroll for Shield for DEF 10% (盾牌防禦卷軸10%)
Star Pixie (星光精靈),35,1300,72,Scroll for Cape for Weapon DEF 10% (披風防禦卷軸10%)
Star Pixie (星光精靈),35,1300,72,Scroll for Cape for STR 100% (披風力量卷軸100%)
Star Pixie (星光精靈),35,1300,72,Dark Scroll for Cape for Weapon DEF 70% (披風防禦詛咒卷軸70%)
Star Pixie (星光精靈),35,1300,72,Scroll for Knuckle for Accuracy 60% (指虎命中卷軸60%)
Star Pixie (星光精靈),35,1300,72,Star Pixie's Starpiece (星光精靈的碎片)
Star Pixie (星光精靈),35,1300,72,Stiff Feather (堅硬的羽毛)
Star Pixie (星光精靈),35,1300,72,Wisdom Crystal Ore (智慧母礦)
Star Pixie (星光精靈),35,1300,72,The Magic Rock (魔法石)
Star Pixie (星光精靈),35,1300,72,Steel Ore (鋼鐵母礦)
Star Pixie (星光精靈),35,1300,72,Garnet Ore (石榴石母礦)
Jr. Boogie 2 (幼魔精靈 2),35,1700,150,White Potion (白色藥水)
Jr. Boogie 2 (幼魔精靈 2),35,1700,150,Blue Potion (藍色藥水)
Jr. Boogie 2 (幼魔精靈 2),35,1700,150,Jr. Boogie Horn (幼魔精靈的角)
Jr. Boogie 2 (幼魔精靈 2),35,1700,150,Power Crystal Ore (力量母礦)
Jr. Boogie 2 (幼魔精靈 2),35,1700,150,Wisdom Crystal Ore (智慧母礦)
Jr. Boogie 2 (幼魔精靈 2),35,1700,150,DEX Crystal Ore (敏捷母礦)
Jr. Boogie 2 (幼魔精靈 2),35,1700,150,LUK Crystal Ore (幸運母礦)
Jr. Boogie 2 (幼魔精靈 2),35,1700,150,Steel Ore (鋼鐵母礦)
Jr. Boogie 2 (幼魔精靈 2),35,1700,150,Garnet Ore (石榴石母礦)
Dark Nependeath (黑食人花),47,2700,115,Yellow Duke (黃鐵頭盔)
Dark Nependeath (黑食人花),47,2700,115,Dark Piette (黑貴族之服)
Dark Nependeath (黑食人花),47,2700,115,Blue China (青陽)
Dark Nependeath (黑食人花),47,2700,115,Brown China (黃陽)
Dark Nependeath (黑食人花),47,2700,115,Red Shouldermail (紅將軍鎧甲)
Dark Nependeath (黑食人花),47,2700,115,Brown Moonlight (褐色月光服)
Dark Nependeath (黑食人花),47,2700,115,Dark Piette Pants (黑貴族褲)
Dark Nependeath (黑食人花),47,2700,115,Blue China Pants (青陽褲)
Dark Nependeath (黑食人花),47,2700,115,Brown China Pants (黃陽褲)
Dark Nependeath (黑食人花),47,2700,115,Red Shouldermail Pants (紅將軍褲)
Dark Nependeath (黑食人花),47,2700,115,Lines Shoes (藍流星鞋)
Dark Nependeath (黑食人花),47,2700,115,Emerald Hildon Boots (祖母綠將軍靴)
Dark Nependeath (黑食人花),47,2700,115,Blue Arten (藍精靈手套)
Dark Nependeath (黑食人花),47,2700,115,Blue Willow (藍意志手套)
Dark Nependeath (黑食人花),47,2700,115,Red Whip (紅色鞭子)
Dark Nependeath (黑食人花),47,2700,115,White Potion (白色藥水)
Dark Nependeath (黑食人花),47,2700,115,Blue Potion (藍色藥水)
Dark Nependeath (黑食人花),47,2700,115,Elixir (特殊藥水)
Dark Nependeath (黑食人花),47,2700,115,Scroll for Cape for STR 10% (披風力量卷軸10%)
Dark Nependeath (黑食人花),47,2700,115,Scroll for two handed BW for ATT 60% (雙手棍攻擊卷軸60%)
Dark Nependeath (黑食人花),47,2700,115,Dark Nependeath Seed (黑食人花的種子)
Dark Nependeath (黑食人花),47,2700,115,Power Crystal Ore (力量母礦)
